date,aircraft_official,helicopter_official,tank_official,APC_official,field_artillery_official,MRL_official,military_auto_official,fuel_tank_official,drone_official,naval_ship_official,anti_aircraft_warfare_official,special_equipment_official,mobile_SRBM_system_official,vehicles_and_fuel_tanks_official,cruise_missiles_official,submarines_official,ground_robotic_systems_official,APC_ws,MRL_ws,aircraft_ws,anti_aircraft_warfare_ws,drone_ws,field_artillery_ws,helicopter_ws,naval_ship_ws,tank_ws
2022-04-10,1.0,1.0,17.0,16.0,7.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0
2022-04-11,2.0,0.0,3.0,12.0,5.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0
2022-04-12,3.0,3.0,7.0,23.0,2.0,0.0,19.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
2022-04-13,1.0,3.0,7.0,18.0,9.0,4.0,23.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2022-04-14,2.0,1.0,14.0,4.0,8.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0
2022-04-15,3.0,0.0,3.0,8.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-04-16,0.0,1.0,6.0,6.0,5.0,3.0,15.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-04-17,2.0,1.0,11.0,20.0,5.0,2.0,13.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0
2022-04-18,2.0,1.0,17.0,39.0,5.0,3.0,16.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2022-04-19,2.0,3.0,12.0,22.0,5.0,2.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0
2022-04-20,2.0,0.0,13.0,24.0,5.0,4.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2022-04-21,1.0,1.0,14.0,31.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
2022-04-22,4.0,2.0,9.0,44.0,4.0,2.0,15.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,8.0
2022-04-23,1.0,1.0,16.0,43.0,6.0,5.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2022-04-24,2.0,0.0,19.0,33.0,5.0,4.0,14.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-25,2.0,0.0,11.0,20.0,3.0,2.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,12.0
2022-04-26,3.0,0.0,34.0,50.0,5.0,0.0,77.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
2022-04-27,1.0,1.0,21.0,34.0,5.0,0.0,23.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-28,2.0,0.0,31.0,47.0,10.0,2.0,22.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2022-04-29,2.0,0.0,16.0,29.0,4.0,0.0,7.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2022-04-30,1.0,0.0,22.0,27.0,1.0,0.0,6.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0
2022-05-01,2.0,0.0,18.0,26.0,15.0,0.0,100.0,60.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0
2022-05-02,2.0,0.0,22.0,48.0,8.0,1.0,100.0,60.0,26.0,0.0,0.0,6.0,0.0,28.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2022-05-03,0.0,0.0,14.0,48.0,16.0,10.0,100.0,60.0,20.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
2022-05-04,0.0,0.0,15.0,43.0,16.0,1.0,100.0,60.0,12.0,0.0,1.0,0.0,0.0,24.0,3.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
2022-05-05,2.0,0.0,15.0,41.0,8.0,6.0,100.0,60.0,9.0,0.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,11.0
2022-05-06,3.0,0.0,18.0,35.0,3.0,2.0,100.0,60.0,12.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2022-05-07,0.0,0.0,12.0,27.0,7.0,1.0,100.0,60.0,17.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0
2022-05-08,0.0,1.0,8.0,28.0,0.0,7.0,100.0,60.0,19.0,1.0,2.0,1.0,0.0,27.0,2.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,10.0
